X,Y,Z
92.438,113.513,0.2
92.438,113.513,0.2
92.291,113.557,0.2
92.291,113.557,0.2
92.253,113.698,0.2
92.253,113.698,0.2
92.253,121.302,0.2
92.253,121.302,0.2
92.297,121.448,0.2
92.297,121.448,0.2
92.438,121.487,0.2
92.438,121.487,0.2
96.24,121.486,0.2
96.24,121.486,0.2
95.775,121.296,0.2
95.775,121.296,0.2
97.778,121.713,0.2
97.778,121.713,0.2
97.815,121.43,0.2
97.815,121.43,0.2
96.871,121.342,0.2
96.871,121.342,0.2
95.848,120.891,0.2
95.848,120.891,0.2
95.041,120.269,0.2
95.041,120.269,0.2
94.423,119.463,0.2
94.423,119.463,0.2
94.032,118.519,0.2
94.032,118.519,0.2
93.897,117.5,0.2
93.897,117.5,0.2
94.031,116.484,0.2
94.031,116.484,0.2
94.422,115.54,0.2
94.422,115.54,0.2
95.044,114.73,0.2
95.044,114.73,0.2
95.848,114.109,0.2
95.848,114.109,0.2
96.871,113.658,0.2
96.871,113.658,0.2
97.815,113.57,0.2
97.815,113.57,0.2
98.759,113.658,0.2
98.759,113.658,0.2
99.783,114.112,0.2
99.783,114.112,0.2
100.584,114.726,0.2
100.584,114.726,0.2
101.209,115.538,0.2
101.209,115.538,0.2
101.601,116.491,0.2
101.601,116.491,0.2
101.727,117.5,0.2
101.727,117.5,0.2
101.599,118.511,0.2
101.599,118.511,0.2
101.209,119.46,0.2
101.209,119.46,0.2
100.586,120.27,0.2
100.586,120.27,0.2
99.782,120.891,0.2
99.782,120.891,0.2
98.759,121.342,0.2
98.759,121.342,0.2
97.815,121.43,0.2
97.815,121.43,0.2
97.815,121.013,0.2
97.815,121.013,0.2
96.906,120.895,0.2
96.906,120.895,0.2
96.057,120.546,0.2
96.057,120.546,0.2
95.329,119.986,0.2
95.329,119.986,0.2
94.771,119.258,0.2
94.771,119.258,0.2
94.419,118.394,0.2
94.419,118.394,0.2
94.3,117.5,0.2
94.3,117.5,0.2
94.422,116.587,0.2
94.422,116.587,0.2
94.771,115.742,0.2
94.771,115.742,0.2
95.329,115.015,0.2
95.329,115.015,0.2
96.057,114.454,0.2
96.057,114.454,0.2
96.907,114.106,0.2
96.907,114.106,0.2
97.814,113.987,0.2
97.814,113.987,0.2
98.726,114.105,0.2
98.726,114.105,0.2
99.573,114.456,0.2
99.573,114.456,0.2
100.301,115.014,0.2
100.301,115.014,0.2
100.859,115.74,0.2
100.859,115.74,0.2
101.203,116.572,0.2
101.203,116.572,0.2
101.327,117.5,0.2
101.327,117.5,0.2
101.211,118.394,0.2
101.211,118.394,0.2
100.859,119.258,0.2
100.859,119.258,0.2
100.301,119.985,0.2
100.301,119.985,0.2
99.574,120.546,0.2
99.574,120.546,0.2
98.724,120.895,0.2
98.724,120.895,0.2
97.815,121.013,0.2
97.815,121.013,0.2
97.725,121.706,0.2
97.725,121.706,0.2
106.131,121.617,0.2
106.131,121.617,0.2
106.401,121.887,0.2
106.401,121.887,0.2
106.401,115.597,0.2
106.401,115.597,0.2
106.401,113.113,0.2
106.401,113.113,0.2
99.893,113.114,0.2
99.893,113.114,0.2
99.031,113.132,0.2
99.031,113.132,0.2
98.791,113.162,0.2
98.791,113.162,0.2
97.815,113.132,0.2
97.815,113.132,0.2
96.839,113.162,0.2
96.839,113.162,0.2
96.603,113.132,0.2
96.603,113.132,0.2
95.739,113.114,0.2
95.739,113.114,0.2
92.385,113.113,0.2
92.385,113.113,0.2
92.09,113.192,0.2
92.09,113.192,0.2
91.932,113.35,0.2
91.932,113.35,0.2
91.853,113.645,0.2
91.853,113.645,0.2
91.853,121.355,0.2
91.853,121.355,0.2
91.933,121.65,0.2
91.933,121.65,0.2
92.09,121.807,0.2
92.09,121.807,0.2
92.385,121.887,0.2
92.385,121.887,0.2
95.738,121.886,0.2
95.738,121.886,0.2
96.601,121.868,0.2
96.601,121.868,0.2
96.839,121.838,0.2
96.839,121.838,0.2
97.815,121.868,0.2
97.815,121.868,0.2
98.791,121.838,0.2
98.791,121.838,0.2
99.029,121.868,0.2
99.029,121.868,0.2
99.892,121.886,0.2
99.892,121.886,0.2
106.401,121.887,0.2
106.401,121.887,0.2
106.801,122.287,0.2
106.801,122.287,0.2
106.801,115.597,0.2
106.801,115.597,0.2
106.801,112.713,0.2
106.801,112.713,0.2
92.333,112.713,0.2
92.333,112.713,0.2
91.883,112.834,0.2
91.883,112.834,0.2
91.574,113.143,0.2
91.574,113.143,0.2
91.453,113.593,0.2
91.453,113.593,0.2
91.453,121.407,0.2
91.453,121.407,0.2
91.574,121.857,0.2
91.574,121.857,0.2
91.883,122.166,0.2
91.883,122.166,0.2
92.333,122.287,0.2
92.333,122.287,0.2
106.801,122.287,0.2
106.801,122.287,0.2
106.531,122.017,0.2
106.531,122.017,0.2
105.501,120.727,0.2
105.501,120.727,0.2
105.241,120.727,0.2
105.241,120.727,0.2
105.241,115.597,0.2
105.241,115.597,0.2
105.241,114.273,0.2
105.241,114.273,0.2
101.7,114.274,0.2
101.7,114.274,0.2
102.091,114.783,0.2
102.091,114.783,0.2
102.316,115.174,0.2
102.316,115.174,0.2
102.67,116.039,0.2
102.67,116.039,0.2
102.764,116.424,0.2
102.764,116.424,0.2
102.89,117.411,0.2
102.89,117.411,0.2
102.872,117.731,0.2
102.872,117.731,0.2
